Ligne	Composant	C4	Props	Preuve
161	OrigamRatingField	conforme		
162	OrigamRatingFieldItem	conforme		
163	OrigamResponsive	conforme		
164	OrigamSelect	conforme		
165	OrigamSelectionControl	conforme		
166	OrigamSelectionControlGroup	conforme		
167	OrigamSheet	conforme		
168	OrigamSkeleton	conforme		
169	OrigamSlideGroup	conforme		
170	OrigamSliderField	conforme		
171	OrigamSliderFieldTrack	conforme		
172	OrigamSnackbar	conforme		
173	OrigamSnackbarGroup	conforme		
174	OrigamSnackbarItem	conforme		
175	OrigamStepper	conforme		
176	OrigamStepperItem	conforme		
177	OrigamSwitch	conforme		
178	OrigamSwitchTrack	conforme		
179	OrigamSystemBar	conforme		
180	OrigamTable	conforme		
181	OrigamTab	conforme		
182	OrigamTabPanel	defaut	eager — useLazy({eager: !!props.eager}) l.130	forme
183	OrigamTabPanels	conforme		
184	OrigamTabs	conforme		
185	OrigamTextField	conforme		
186	OrigamTextMask	conforme		
187	OrigamTextareaField	conforme		
188	OrigamTextareaFieldRichToolbar	conforme		
189	OrigamThemeProvider	conforme		
190	OrigamTimeline	conforme		
191	OrigamTimelineItem	conforme		
192	OrigamTitle	conforme		
193	OrigamToolbar	conforme		
194	OrigamTooltip	conforme		
195	OrigamExpandX	conforme		
196	OrigamExpandY	conforme		
197	OrigamFade	conforme		
198	OrigamReverseTranslatePicker	conforme		
199	OrigamScaleRotate	conforme		
200	OrigamSlideX	conforme		
201	OrigamSlideY	conforme		
202	OrigamSnack	conforme		
203	OrigamTransition	conforme		
204	OrigamTranslateBottom	conforme		
205	OrigamTranslatePicker	conforme		
206	OrigamTranslateScale	conforme		
207	OrigamWindowXReverseTranslate	conforme		
208	OrigamWindowXTranslate	conforme		
209	OrigamWindowYReverseTranslate	conforme		
210	OrigamWindowYTranslate	conforme		
211	OrigamTreeview	defaut	expandedValue, modelValue — ref(new Set(props.expandedValue ?? [])) l.72	PROUVE
212	OrigamTreeviewNode	conforme		
213	OrigamVideo	defaut	autoplay, loop, preload	forme
214	OrigamVirtualScroll	conforme		
215	OrigamVirtualScrollItem	conforme		
216	OrigamWatermark	conforme		
217	OrigamWindow	conforme		
218	OrigamWindowItem	conforme		
